file,label,page,text,id,surrounding_text
Def1458-CL20192911-042022_readable.pdf,timexy,3,August  17,"TIMEX3 type=""DATE"" value=""2017-08-01T00:00:00""","10. 
execute  the  Stipulation  and  Order  re  Dismissal  of  Petitioner's  Request  for  Domestic  Violence 
Restraining  Orders  and  take  any  and  all  additional  actions  necessary  to  dismiss,  with  prejudice, 
Amber’s  request  for  a  Domestic  Violence  Restraining  Order,  in  the  Marriage  of  Depp,  L.A.S.C. 
Case  No.  BD641052,  initially  set  for  hearing  on  June  17,  2016  and  which  has  been  continued  to 
August  17,  2016.  Pursuant  to  this  DPM,  neither  party  is  the  prevailing  party  for  purposes  of 
Code  of  Civil  Procedure  Section  1032,  Family  Code  Section  6344,  or  any  other  statute. "
Def1458-CL20192911-042022_readable.pdf,timexy,4,December  31,"TIMEX3 type=""DATE"" value=""2031-12-01T00:00:00""","On  or  before  December  31,  2016,  Amber  shall  vacate  and/or  cause  any  third 
parties  to  vacate  penthouse  unit  3.  Commencing  September  1,  2016,  Amber  shall 
make  penthouse  unit  3  available  to  be  shown  to  prospective  buyers  of  the  property 
upon  48  hours  written  notice,  Amber  shall  ensure  that  penthouse  unit  3  is  clean 
and  in  good  condition  for  any  and  all  properly  noticed  showings.  A  representative 
of  Amber  shall  be  present  to  ensure  that  no  pictures  or  personal  belongings  are 
taken  during  showings. "
Def1458-CL20192911-042022_readable.pdf,timexy,4,August  15,"TIMEX3 type=""DATE"" value=""2015-08-01T00:00:00""","Johnny  and  Amber  shal!  meet  and  confer  to  divide  the  furniture  and  furnishings 
contained  in  units  3  and  5.  Furniture  and  furnishings  shall  specifically  exclude 
any  and  all  items  in  unit  2,  any  and  all  artwork  which  shall  be  awarded  to  Johnny 
as  his  separate  property.  Amber  may  retain  any  and  all  of  her  personal 
possessions,  clothing,  jewelry,  books,  etc.  Johnny's  representatives  shall  retrieve 
any  and  all  of  his  personal  possessions,  clothing,  instruments,  books,  jewelry  and 
artwork  from  units  1,  2,  and  4,  on  or  before  August  15,  2016.  After  the  parties 
have  met  and  conferred,  and  agreed  upon  the  division  of  the  furniture  and 
furnishings  in  units  3  and  5, 
to  Johnny  from  said  units. "
Def1458-CL20192911-042022_readable.pdf,timexy,4,August  15,"TIMEX3 type=""DATE"" value=""2015-08-01T00:00:00""","Johnny  and  Amber  shal!  meet  and  confer  to  divide  the  furniture  and  furnishings 
contained  in  units  3  and  5.  Furniture  and  furnishings  shall  specifically  exclude 
any  and  all  items  in  unit  2,  any  and  all  artwork  which  shall  be  awarded  to  Johnny 
as  his  separate  property.  Amber  may  retain  any  and  all  of  her  personal 
possessions,  clothing,  jewelry,  books,  etc.  Johnny's  representatives  shall  retrieve 
any  and  all  of  his  personal  possessions,  clothing,  instruments,  books,  jewelry  and 
artwork  from  units  1,  2,  and  4,  on  or  before  August  15,  2016.  After  the  parties 
have  met  and  conferred,  and  agreed  upon  the  division  of  the  furniture  and 
furnishings  in  units  3  and  5, 
to  Johnny  from  said  units. "
Def1458-CL20192911-042022_readable.pdf,timexy,4,August  31,"TIMEX3 type=""DATE"" value=""2031-08-01T00:00:00""","$200,000  on  or  before  August  31,  2016. "
Def1458-CL20192911-042022_readable.pdf,DATE,5,November  1,,"$1,000,000  on  or  before  November  1,  2016; "
Def1458-CL20192911-042022_readable.pdf,DATE,5,November  1,,"$1,000,000  on  or  before  November  1,  2016; "
Def1458-CL20192911-042022_readable.pdf,timexy,6,September  15,"TIMEX3 type=""DATE"" value=""2015-09-01T00:00:00""","22. 
The  parties  shall  make  every  effort  to  maintain  the  confidentiality  of  this  DPM  and  the 
Further  Judgment.  Counsel  for  Johnny  shall  draft  the  “short  form”  Judgment  and  “long  form” 
Further  Judgment,  and  provide  same  to  counsel  for  Amber  for  review  and  comment  by  no  later 
than  September  15,  2016.  The  parties  agree  that  they  shall  file  the  “short  form”  Judgment  with 
the  Court  and  that  it  shall  not  contain  any  substantive  provisions  of  their  agreement.  In  order  to 
preserve  the  confidentiality  of  the  terms  contained  in  this  DPM,  the  parties  further  agree  that  they 
shall  file  a  “long  form”  Further  Judgment  containing  all  substantive  provisions  of  their 
agreement.  This  “long  form”  Further  Judgment  shall  not  be  filed  with  the  Court  unless  necessary 
for  enforcement  purposes  or  in  the  event  that  the  “short  form”  Judgment  is  not  acceptable  to  the 
Court.  The  parties  acknowledge  that  the  Court  may  require  them  to  file  the  “long  form”  Further 
Judgment  that  will  become  part  of  the  public  record. "
Def1458-CL20192911-042022_readable.pdf,timexy,6,August  31,"TIMEX3 type=""DATE"" value=""2031-08-01T00:00:00""","$160,000  on  or  before  August  31,  2016. "
Def1458-CL20192911-042022_readable.pdf,DATE,7,December  1,,"$150,000  on  or  before  December  1,  2016;  and 
$250,000  on  or  before  February  1,  2017. "
Def1493H-CL20192911-051822_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","/PLT /  Bef:  iW43k 
04/11/2022 
“Date 
Judge  PSA "
Def1493R-CL20192911-051822_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","Deut /  pay ly43e 
Date  04/11/2022 "
Def1639-CL20192911-042822_readable.pdf,timexy,1,August  24,"TIMEX3 type=""DATE"" value=""2024-08-01T00:00:00""","August  24,  2016 "
Def1639-CL20192911-042822_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT/De)__  1639 
Date:  04/11/2022 
PSA 
Judge: 
Case:  CL-2019-0002911 "
Def1639-CL20192911-042822_readable.pdf,DATE,1,"CL-2019-0002911 

  

ACLU_00002632",,
Def1639-CL20192911-042822_readable.pdf,DATE,2,"8/24/2016 

8023",,
Def167-CL20192911-050422_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","Date:  04/11/2022 
Judge: 
PSA 
Case:  Cl.-2019-0002911 "
Def167A-CL20192911-050422_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT /  Get)  lo  A 
Date  04/11/2022 "
Def170-CL20192911-050422_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT 
Date:  04/11/2022 
Judge: "
Def175-CL20192911-042122_readable.pdf,timexy,1,June  07,"TIMEX3 type=""DATE"" value=""2007-06-01T00:00:00""","Bruce  Witkin 
Friday,  June  07,  2013  7:21:43  PM 
dictator3 
Re:  Can't  shake  it. "
Def175-CL20192911-042122_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","a 
PLT  /@e?)_175 
Date:  04/11/2022 "
Def175-CL20192911-042122_readable.pdf,DATE,1,20  years  ago,,"Would  love  to  see  you  for  a  minute  when  you  come  in. 
I've  got  my  annual  Birthday  BBQUE  on  Saturday 
That  Sheila  fern  started  20  years  ago.....  I  think  I  keep  it  going  for  her  more  than 
me. "
Def175-CL20192911-042122_readable.pdf,DATE,1,recent  years,,"Pa 
>  how  can  you  possibly  think  that  you've  let  me  down???  we  have  done  some  of  our  best 
work  together  in  recent  years!!!  we've  made  incredible  music  together  with  some  of "
Def180-CL20192911-042122_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /@ef\__180 
Date:  04/11/2022 
PSA 
Judge: 
Case:  CL-2019-0002911 "
Def1804-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","pit  /  yeh  16Y 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-291\"
Def1805-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT /  PEPLZOS 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-291)"
Def1806-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /beg.  OV 
Date  04/11/2022 
Judge  PSA"
Def1807-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","pit  / 
Bet_!0  oO} 
Date  04/11/2022 
\Judge  PSA 
|case  #  CL-2019-2911"
Def1808-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","Date  04/11/2022 
Judge  PSA "
Def1809-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /  Geks_1809 
Date  04/11/2022 
    
Judge  PSA 
Case  #  CL-2019-291' "
Def1810-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","   
PLT /  Oe}  _/£ 
1O 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-291\ "
Def1811-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","   
PLT/Qeb_/P 
   
Date  04/11/2022 "
Def1812-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","   
PLT/  peb/B  IQ 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-291 | "
Def1814-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT /  Dek  IB  IY 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-2911"
Def1815-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","pit  /Oek  JB  1S 
Date  04/11/2022 "
Def1816-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT /  Beh_/g  Iv 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-291\"
Def1817-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-2911 "
Def1819-CL20192911-050522_readable.pdf,DATE,1,"19 
Date",,"PLT  /  Geb  1G  19 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-2911 "
Def1819-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /  Geb  1G  19 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-2911 "
Def182-CL20192911-042122_readable.pdf,timexy,1,July  13,"TIMEX3 type=""DATE"" value=""2013-07-01T00:00:00""","Eton  John 
Saturday,  July  13,  2013  9:23:20  AM "
Def182-CL20192911-042122_readable.pdf,timexy,1,13  Jul  2013,"TIMEX3 type=""DATE"" value=""2013-07-13T00:00:00""","On  13  Jul  2013,  at  17:05,  him [I 101: "
Def182-CL20192911-042122_readable.pdf,DATE,1,three  months,,"the  Doc's  in  Kentucky  said  we'd  be  lucky  to  get  three  months...  the  Cedars  fucking  super  team  have  given  her  what  they  feel  is  a  solid  year,  to  a  year  and  a  half(which,  of 
course,  she  is  not  aware  of)...  so,  my  brother  and  sisters  and  i  feel  very  lucky  to  have  the  extra  time!!!  she  will  exit  in  great  celebration,  surrounded  by  her  progeny... "
Def182-CL20192911-042122_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /@eh)_182 
Date:  04/11/2022 
PSA 
Judge: 
Case:  CL-2019-0002911"
Def1820-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","pit  /per_!8  30 
Date  04/11/2022 
Judge  PSA "
Def1821-CL20192911-050522_readable.pdf,timexy,1,4/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""",4/11/2022
Def1825-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","pit  /6e/8  2S 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-291)"
Def1827-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /  Oe;  1897 
Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-291\ "
Def1828-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","Date  04/11/2022 
Judge  PSA 
Case  #  CL-2019-291| "
Def1829-CL20192911-050522_readable.pdf,DATE,1,"4 
Date",,"PLT /  pet/E  4 
Date  04/11/2022 "
Def1829-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT /  pet/E  4 
Date  04/11/2022 "
Def1830-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /  Bet 
Date  04/11/2022 
Judge  PSA "
