label,page,text,id,surrounding_text
timexy,4,May  2014,"TIMEX3 type=""DATE"" value=""2014-05-01T00:00:00""","The  Claimant’s  doctor,  Dr  Kipper,  noted  in  May  2014  that  the  Claimant  “has  had  a 
long  history  of  self-medicating  behaviours  involving  multiple  substances  of  abuse.  These 
include  alcohol,  opiates,  benzodiazepines  and  stimulants"",  including  ""cocaine"".  Dr  Kipper 
also  noted  that  the  Claimant  had  a  “Primary  dopamine  imbalance,  ADHD,  bipolar  one, 
depression,  secondary  to  above,  insomnia,  chronic  substance  abuse  disorder”  [2/286/23- 
2/286/25].  On  18  August  2014  Dr  Kipper  reported  to  the  Claimant’s  sister  that  the 
Claimant  “actually  romanticizes  the  entire  drug  culture,  and  has  no  accountability  for  his 
behaviours”  [File  4/126/F745].  An  example  of  the  effect  of  such  substance  abuse  on  the 
Claimant  was  provided  by  a  photo  of  him  from  18  July  2013  which  showed  the  Claimant 
ball  [File  6/148/F894.005],  seemingly  after  drinking  or  taking 
passed  out  curled  up  in  a "
timexy,4,18  August  2014,"TIMEX3 type=""DATE"" value=""2014-08-18T00:00:00""","The  Claimant’s  doctor,  Dr  Kipper,  noted  in  May  2014  that  the  Claimant  “has  had  a 
long  history  of  self-medicating  behaviours  involving  multiple  substances  of  abuse.  These 
include  alcohol,  opiates,  benzodiazepines  and  stimulants"",  including  ""cocaine"".  Dr  Kipper 
also  noted  that  the  Claimant  had  a  “Primary  dopamine  imbalance,  ADHD,  bipolar  one, 
depression,  secondary  to  above,  insomnia,  chronic  substance  abuse  disorder”  [2/286/23- 
2/286/25].  On  18  August  2014  Dr  Kipper  reported  to  the  Claimant’s  sister  that  the 
Claimant  “actually  romanticizes  the  entire  drug  culture,  and  has  no  accountability  for  his 
behaviours”  [File  4/126/F745].  An  example  of  the  effect  of  such  substance  abuse  on  the 
Claimant  was  provided  by  a  photo  of  him  from  18  July  2013  which  showed  the  Claimant 
ball  [File  6/148/F894.005],  seemingly  after  drinking  or  taking 
passed  out  curled  up  in  a "
timexy,4,18  July  2013,"TIMEX3 type=""DATE"" value=""2013-07-18T00:00:00""","The  Claimant’s  doctor,  Dr  Kipper,  noted  in  May  2014  that  the  Claimant  “has  had  a 
long  history  of  self-medicating  behaviours  involving  multiple  substances  of  abuse.  These 
include  alcohol,  opiates,  benzodiazepines  and  stimulants"",  including  ""cocaine"".  Dr  Kipper 
also  noted  that  the  Claimant  had  a  “Primary  dopamine  imbalance,  ADHD,  bipolar  one, 
depression,  secondary  to  above,  insomnia,  chronic  substance  abuse  disorder”  [2/286/23- 
2/286/25].  On  18  August  2014  Dr  Kipper  reported  to  the  Claimant’s  sister  that  the 
Claimant  “actually  romanticizes  the  entire  drug  culture,  and  has  no  accountability  for  his 
behaviours”  [File  4/126/F745].  An  example  of  the  effect  of  such  substance  abuse  on  the 
Claimant  was  provided  by  a  photo  of  him  from  18  July  2013  which  showed  the  Claimant 
ball  [File  6/148/F894.005],  seemingly  after  drinking  or  taking 
passed  out  curled  up  in  a "
DATE,4,13  year  old,,"The  Claimant’s  highly  unorthodox  attitude  towards  the  use  of  illegal  drugs  was  illustrated 
by  the  fact  that  he  considers  it  responsible,  when  learning  of  his  13  year  old  daughter’s 
use  of  marijuana,  to  create  a  suitable  environment  for  the  taking  of  the  drug:  “So,  you  put 
on  family  television,  you  fill  the  refrigerator  with  ice  cream,  and  you  fill  the  freezer,  and 
you  make  a  situation  where  the  experience  will  hopefully  be  as  pleasant  as  possible"
DATE,5,13  year-old,,"because  the  first  thing  you  do  not  want  is  you  do  not  want  your  13  year-old  going  into 
some  sort  of  paranoid  tailspin”.  [1/164/18-1/165/7]. "
timexy,5,11  June  2013,"TIMEX3 type=""DATE"" value=""2013-06-11T00:00:00""","14.  As  for  alcohol,  Mr  Deuters  confirmed  that  the  Claimant  drank  quantities  of  alcoho!  that 
might  make  an  average  person  drunk,  especially  red  wine,  but  considered  that  the 
Claimant’s  tolerance  for  alcohol  was  very  high  [5/751/17-24].  He  described  the  Claimant’s 
consumption  of  alcohol  as  “quite  impressive”  [5/778/2-3].  He  also  confirmed  he  had  seen 
the  Claimant  “passed  out”  [5/774/3-7].  Another  example  of  the  Claimant’s  heavy  alcohol 
use  was  provided  by  the  email  Ms  Heard  wrote  to  herself  on  11  June  2013  recording  that 
she  had  the  previous  day  seen  the  Claimant  pass  out  amongst  vomiting  three  times: "
DATE,6,1/85/4-17,,"The  Claimant  admitted  to  assaulting  with  a  piece  of  wood  a  photographer  who  was 
attempting  to  take  a  photo  of  him  and  his  pregnant  partner  Vanessa  Paradis  in  a  public 
place  [1/85/4-17].  A  picture  of  the  Claimant  on  that  occasion  can  be  found  in  [File  10,  Tab 
147(b)].  The  court  was  also  taken  to  a  number  of  documents  in  which  others  had  made 
accusations  of  violence  about  the  Claimant.  He  was  alleged  in  legal  proceedings  to  have 
film  set,  an  allegation  he 
lost  his  temper  and  assaulted  Greg  Brooks,  a  crew  member  ona 
a  US  deposition  that  the  Claimant  had 
denies  [1/90/23-1/92/3].  Ellen  Barkin  alleged  in 
thrown  a  bottle  across  a  hotel  room,  an  incident  which  the  Claimant  initially  said  he  did 
not  recall  [1/71/14-24]  and  then  said  “That  incident  never  happened”  [1/77/8-9].  Ms 
Barkin  said  of  the  Claimant  ""There  is  always  an  air  of  violence  around  him.  He  is  a  yeller. 
He  is  verbally  abusive”  [1/77/13-19].  The  Claimant  said  that  Ms  Barkin  bore  a  20-year 
grudge  against  him  [1/81/3-16]. "
timexy,6,February  2016,"TIMEX3 type=""DATE"" value=""2016-02-01T00:00:00""","The  Claimant’s  capacity  for  violence  was  vividly  demonstrated  by  a  film  clip  shown  to  the 
court  several  times  [File  5/158/F988];  [media  file  “F158.  Clip  entitled  'Video  of  JD 
Speaking  to  AD  JD”].  This  was  taken  by  Ms  Heard  in  around  February  2016  and  showed 
a  violent  rage,  smashing  glass,  slamming  cupboard  doors  and  very 
the  Claimant  in 
aggressively  approaching  Ms  Heard  and  grabbing  the  phone  when  he  realised  he  was 
being  recorded  [1/98/4-1/98/10].  The  Claimant  explained  he  was  “upset” on  this  occasion 
[1/98/22-24].  Although  the  Claimant  did  not  admit  to  being  under  the  influence  of  drugs, 
or  drunk,  when  it  was  filmed,  he  was  depicted  drinking  from  a  large  glass  of  red  wine  from 
a  bottle  which  was  already  partially  empty,  and  when  it  was  suggested  that  he  was  drunk 
  was 
he  replied  “i  may  have  been.  |  do  not  recall.  The  chances  are  very  good  that  |  was,  if  |
upset”  [1/101/14-21].  The  Claimant  accepted  it  would  have  been  very  intimidating  for  Ms 
Heard  to  see  him  in  the  state  that  he  was  in  [1/101/4].  He  also  accepted  that  this  was  not "
DATE,6,1/101/14-21,,"The  Claimant’s  capacity  for  violence  was  vividly  demonstrated  by  a  film  clip  shown  to  the 
court  several  times  [File  5/158/F988];  [media  file  “F158.  Clip  entitled  'Video  of  JD 
Speaking  to  AD  JD”].  This  was  taken  by  Ms  Heard  in  around  February  2016  and  showed 
a  violent  rage,  smashing  glass,  slamming  cupboard  doors  and  very 
the  Claimant  in 
aggressively  approaching  Ms  Heard  and  grabbing  the  phone  when  he  realised  he  was 
being  recorded  [1/98/4-1/98/10].  The  Claimant  explained  he  was  “upset” on  this  occasion 
[1/98/22-24].  Although  the  Claimant  did  not  admit  to  being  under  the  influence  of  drugs, 
or  drunk,  when  it  was  filmed,  he  was  depicted  drinking  from  a  large  glass  of  red  wine  from 
a  bottle  which  was  already  partially  empty,  and  when  it  was  suggested  that  he  was  drunk 
  was 
he  replied  “i  may  have  been.  |  do  not  recall.  The  chances  are  very  good  that  |  was,  if  |
upset”  [1/101/14-21].  The  Claimant  accepted  it  would  have  been  very  intimidating  for  Ms 
Heard  to  see  him  in  the  state  that  he  was  in  [1/101/4].  He  also  accepted  that  this  was  not "
timexy,7,22  September  2014,"TIMEX3 type=""DATE"" value=""2014-09-22T00:00:00""","recorded  by  Nurse  Debbie  Lloyd  on  22  September  2014  [File  4/137/F813]:  “Upon  arriving 
at  the  home  patient  was  sitting  in  kitchen  with  scraped  and  bloody  knuckles  on  R  {right] 
hand.  Patient  stated  he  had  punched  white  board  in  kitchen  after  fight."" "
DATE,8,2/225/21-13,,"of  hers.  [t  was  a  weapon,  and  it  was  used  constantly.  She  grabbed  hold  of  the  word  and 
held  on,  hell  bent  for  leather,  that  it  would  stick”  [2/267/19-25].  Similarly  he  said  of  Ms 
Heard,  “she  did  not  like  me  using  alcohol  or  drugs,  because  she  had  some  delusional  idea 
that  they  turned  me  into,  as  you  have  spoken  about,  this  said  monster’  [2/225/21-13].  In 
October  2013  he  said  in  a  text  to  Paul  Bettany,  referring  to  cocaine,  “She  thinks  that  my 
Peruvian  period  has  made  me  a  monster,  and  that  |  am  ruining  the  relationship” 
[2/262/24-2/263/10]. "
timexy,8,October  2013,"TIMEX3 type=""DATE"" value=""2013-10-01T00:00:00""","of  hers.  [t  was  a  weapon,  and  it  was  used  constantly.  She  grabbed  hold  of  the  word  and 
held  on,  hell  bent  for  leather,  that  it  would  stick”  [2/267/19-25].  Similarly  he  said  of  Ms 
Heard,  “she  did  not  like  me  using  alcohol  or  drugs,  because  she  had  some  delusional  idea 
that  they  turned  me  into,  as  you  have  spoken  about,  this  said  monster’  [2/225/21-13].  In 
October  2013  he  said  in  a  text  to  Paul  Bettany,  referring  to  cocaine,  “She  thinks  that  my 
Peruvian  period  has  made  me  a  monster,  and  that  |  am  ruining  the  relationship” 
[2/262/24-2/263/10]. "
DATE,8,2/262/24-2/263/10,,"of  hers.  [t  was  a  weapon,  and  it  was  used  constantly.  She  grabbed  hold  of  the  word  and 
held  on,  hell  bent  for  leather,  that  it  would  stick”  [2/267/19-25].  Similarly  he  said  of  Ms 
Heard,  “she  did  not  like  me  using  alcohol  or  drugs,  because  she  had  some  delusional  idea 
that  they  turned  me  into,  as  you  have  spoken  about,  this  said  monster’  [2/225/21-13].  In 
October  2013  he  said  in  a  text  to  Paul  Bettany,  referring  to  cocaine,  “She  thinks  that  my 
Peruvian  period  has  made  me  a  monster,  and  that  |  am  ruining  the  relationship” 
[2/262/24-2/263/10]. "
timexy,8,22  March  2012,"TIMEX3 type=""DATE"" value=""2012-03-22T00:00:00""","However,  the  Claimant’s  claim  that  the  term  was  one  solely  deployed  by  Ms  Heard  is 
contradicted  by  the  fact  that  he  himself  used  the  term  ‘the  monster’  even  when 
communicating  with  individuals  who  had  nothing  to  do  with  Ms  Heard.  He  used  it  in  an 
email  he  sent  to  Elton  John  on  22  March  2012  celebrating  100  days  of  sobriety,  where  he 
said  of  his  time  as  a  substance  abuser:  “Hellish  personal  life,  fucked  brain,  hurt  heart  and 
  would  have  been  swallowed  up  by  the  monster  were  it 
internal  savagery  against  myself.  |
not  for  you.  That  is  a  simple  fact”.  |n  evidence  the  Claimant  said  of  this  email,  “the  monster 
here  is  death”  [1/134/9-24]. "
DATE,8,100  days,,"However,  the  Claimant’s  claim  that  the  term  was  one  solely  deployed  by  Ms  Heard  is 
contradicted  by  the  fact  that  he  himself  used  the  term  ‘the  monster’  even  when 
communicating  with  individuals  who  had  nothing  to  do  with  Ms  Heard.  He  used  it  in  an 
email  he  sent  to  Elton  John  on  22  March  2012  celebrating  100  days  of  sobriety,  where  he 
said  of  his  time  as  a  substance  abuser:  “Hellish  personal  life,  fucked  brain,  hurt  heart  and 
  would  have  been  swallowed  up  by  the  monster  were  it 
internal  savagery  against  myself.  |
not  for  you.  That  is  a  simple  fact”.  |n  evidence  the  Claimant  said  of  this  email,  “the  monster 
here  is  death”  [1/134/9-24]. "
timexy,8,26  April  2015,"TIMEX3 type=""DATE"" value=""2015-04-26T00:00:00""","on  26  April  2015,  shortly  after  arriving 
Similarly  he  used  the  term  in  a  message  to  Mr  Judge 
in  Australia  [File  6/119/F697.70]  “Thank  you,  my  dear  Jerry!!!  Very,  very  kind,  mate!!  We 
have  been  perfect!!!  All  i  had  to  do  was  send  the  monster  away  and  lock  him  up!!!  We've 
been  happier  than  EVER!!!  Love  you,  brother”  and  to  Dr  Kipper  on  28  June  2015:  “..  Amber 
and  |  have  been  absolutely  perfect  for  3  fuckin'  months  solidi!i!  |  have  locked  my  monster 
child  away  in  a  cage  deep  within  and  it  has  fuckin’  worked!!!”  [File  10/147(a)/O149].  See 
also  the  text  from  the  Claimant  on  4  October  2014: "
timexy,8,28  June  2015,"TIMEX3 type=""DATE"" value=""2015-06-28T00:00:00""","on  26  April  2015,  shortly  after  arriving 
Similarly  he  used  the  term  in  a  message  to  Mr  Judge 
in  Australia  [File  6/119/F697.70]  “Thank  you,  my  dear  Jerry!!!  Very,  very  kind,  mate!!  We 
have  been  perfect!!!  All  i  had  to  do  was  send  the  monster  away  and  lock  him  up!!!  We've 
been  happier  than  EVER!!!  Love  you,  brother”  and  to  Dr  Kipper  on  28  June  2015:  “..  Amber 
and  |  have  been  absolutely  perfect  for  3  fuckin'  months  solidi!i!  |  have  locked  my  monster 
child  away  in  a  cage  deep  within  and  it  has  fuckin’  worked!!!”  [File  10/147(a)/O149].  See 
also  the  text  from  the  Claimant  on  4  October  2014: "
timexy,8,4  October  2014,"TIMEX3 type=""DATE"" value=""2014-10-04T00:00:00""","on  26  April  2015,  shortly  after  arriving 
Similarly  he  used  the  term  in  a  message  to  Mr  Judge 
in  Australia  [File  6/119/F697.70]  “Thank  you,  my  dear  Jerry!!!  Very,  very  kind,  mate!!  We 
have  been  perfect!!!  All  i  had  to  do  was  send  the  monster  away  and  lock  him  up!!!  We've 
been  happier  than  EVER!!!  Love  you,  brother”  and  to  Dr  Kipper  on  28  June  2015:  “..  Amber 
and  |  have  been  absolutely  perfect  for  3  fuckin'  months  solidi!i!  |  have  locked  my  monster 
child  away  in  a  cage  deep  within  and  it  has  fuckin’  worked!!!”  [File  10/147(a)/O149].  See 
also  the  text  from  the  Claimant  on  4  October  2014: "
DATE,9,1/106/3-7],,doors”  {1/106/3-7]. 
timexy,10,29  October  2013,"TIMEX3 type=""DATE"" value=""2013-10-29T00:00:00""","There  was  a  contest  as  to  who  was  in  control  in  the  relationship.  Ms  Heard  explained  that 
there  were  many  ways  in  which  he  sought  to  control  her  —  she  gave  an  example  of  the 
Claimant  arranging  for  her  to  be  driven  around  while  her  car  was  renovated  [10/1567/24- 
1568/3].  The  court  also  heard  evidence  that  the  Claimant  sought  to  intervene  in  her 
career  in  unhelpful  ways  —  Ms  Sexton  explained  how  she  heard  the  Claimant  talking  about 
Ms  Heard’s  career  and  was  disparaging  her  choices  (14/2250/11-22].  The  Claimant  was 
shown  a  text  message  from  him  to  Ms  Heard  on  29  October  2013  which  read  “Holy  crack 
whores!!!  NO  GODDAM  MEETINGS!!!  NO  MOVIES!!!  Why???  Why  do  you  deviate  from  our 
agreement???  What  species  of  meeting???  Fuck  it...  Just  tell  me  when  you  get  home...” 
but  said  he  did  not  know  the  meaning  or  the  context  [2/262/11-20]. "
timexy,11,July  2013,"TIMEX3 type=""DATE"" value=""2013-07-01T00:00:00""","July  2013: 
matronliness  as  as  lesbian  camp  counsellor  was  plenty...”  [File  7/2(b)/H23.2].  This  was 
despite  the  fact  that  even  the  Claimant’s  daughter  considered  Ms  Heard  a  good  influence 
on  him,  and  helped  with  his  alcohol  problem,  as  she  explained  in  a  text  to  him  in  February 
2014  [2/283/18-2/284/22].  Moreover,  despite  having  claimed  in  his  witness  statement 
that  Ms  Heard  did  not  support  his  sobriety  and  often  encouraged  him  to  take  drugs  and 
drink  alcohol,  the  Claimant  accepted  in  cross-examination  that  Ms  Heard  was  ‘adamant’ 
during  their  relationship  that  he  should  stop  drinking  and  using  recreational  drugs "
timexy,11,"February 
2014","TIMEX3 type=""DATE"" value=""2014-02-01T00:00:00""","July  2013: 
matronliness  as  as  lesbian  camp  counsellor  was  plenty...”  [File  7/2(b)/H23.2].  This  was 
despite  the  fact  that  even  the  Claimant’s  daughter  considered  Ms  Heard  a  good  influence 
on  him,  and  helped  with  his  alcohol  problem,  as  she  explained  in  a  text  to  him  in  February 
2014  [2/283/18-2/284/22].  Moreover,  despite  having  claimed  in  his  witness  statement 
that  Ms  Heard  did  not  support  his  sobriety  and  often  encouraged  him  to  take  drugs  and 
drink  alcohol,  the  Claimant  accepted  in  cross-examination  that  Ms  Heard  was  ‘adamant’ 
during  their  relationship  that  he  should  stop  drinking  and  using  recreational  drugs "
DATE,12,10/1588/12-,,"Jeaiousy  was  also  a  trigger  for  the  Claimant’s  rage.  Ms  Heard  confirmed  in  evidence  that 
it  was  the  Claimant's  jealousy  that  would  inspire  his  drug  and  alcohol  binges  [10/1588/12- 
22].  The  Claimant  conceded  he  could  be  jealous  [2/192/4-5].  Ms  Heard  was  obviously 
anxious  about  his  behavior  when  jealous,  as  she  noted  in  an  email  to  Kate  James  on  10 
May  2014  [File  8/73/114]  in  which  Ms  Heard  asked  Ms  James  to  ensure  that  the  Claimant 
was  only  provided  with  her  “DOOD”  (Day  out  of  Days)  film  schedule  that  “doesn’t  explain 
what  the  scenes  are  in  any  way”,  since  “!  don't  want  them  to  see  a  one  line  breakdown 
that  mentions  anything  romantic  or  anything  that  could  [cause]  Johnny  to  lose  it,  you "
timexy,12,"10 
May  2014","TIMEX3 type=""DATE"" value=""2014-05-10T00:00:00""","Jeaiousy  was  also  a  trigger  for  the  Claimant’s  rage.  Ms  Heard  confirmed  in  evidence  that 
it  was  the  Claimant's  jealousy  that  would  inspire  his  drug  and  alcohol  binges  [10/1588/12- 
22].  The  Claimant  conceded  he  could  be  jealous  [2/192/4-5].  Ms  Heard  was  obviously 
anxious  about  his  behavior  when  jealous,  as  she  noted  in  an  email  to  Kate  James  on  10 
May  2014  [File  8/73/114]  in  which  Ms  Heard  asked  Ms  James  to  ensure  that  the  Claimant 
was  only  provided  with  her  “DOOD”  (Day  out  of  Days)  film  schedule  that  “doesn’t  explain 
what  the  scenes  are  in  any  way”,  since  “!  don't  want  them  to  see  a  one  line  breakdown 
that  mentions  anything  romantic  or  anything  that  could  [cause]  Johnny  to  lose  it,  you "
timexy,12,30  August  2014,"TIMEX3 type=""DATE"" value=""2014-08-30T00:00:00""","Ms  Heard  noted  the  Claimant’s  jealousy,  and  how  it  was  a  trigger  for  the  Claimant,  when 
his  notes  [3/366/2-9],  [File 
she  spoke  to  her  therapist  Dr  Cowan,  as  recorded  in 
9/101(a)/K6]  (according  to  the  barely  legible  handwriting,  made  on  30  August  2014).  ""JD 
is  very  threatened  by  career,  particularly  any  kind  of  romantic  scenes  she  has  to  do.  Her 
movie...""  --  1  do  not  know  what  the  next  letter  is,  JF,  and  1am  going  to  suggest  that  is  James 
Franco  --  ""precipitated  a  drinking  binge  that  put  JD  in  the  hospital.  Everyone  around  J 
seems  to  be  intimidated  by  his  power  and  money.  No  one  stands  up  to  him"". "
timexy,12,11  June  2013,"TIMEX3 type=""DATE"" value=""2013-06-11T00:00:00""",Bettany  on  11  June  2013: 
timexy,13,16  August  2016,"TIMEX3 type=""DATE"" value=""2016-08-16T00:00:00""","43.  After  his  relationship  with  Ms  Heard  ended,  he  did  not  merely  resent  her.  He  set  out  to 
destroy  her.  In  texts  to  Christian  Carino  on  15  and  16  August  2016  [File  6/119/F687.194] "
timexy,13,8  March  2015,"TIMEX3 type=""DATE"" value=""2015-03-08T00:00:00""","extraordinarily  outside  of...”  [3/480/5-8].  In  his  text  message  to  Dr  Kipper  on  8  March  2015  the 
Claimant  referred  to  Ms  Heard  as  “a  malicious,  evil  and  vindictive  cunt!111! 
in 
told  her  nol!  She's  a  cunt!!!”  [File  6/119/F697.36]. "
timexy,13,7  August  2014,"TIMEX3 type=""DATE"" value=""2014-08-07T00:00:00""",a  message  to  Mr  Deuters  on  7  August  2014  said:  “She  [Ms  Heard]  has  accused  me  of  boozing!!!  1 
timexy,14,February  2020,"TIMEX3 type=""DATE"" value=""2020-02-01T00:00:00""","The  court  was  introduced  to  the  activities  of  Mr  Waldman  at  the  PTR  in  February  2020 
when  attention  was  drawn  to  an  email  he  had  sent  Mr  Charalambous,  the  Defendants’ 
solicitor,  following  the  recent  leaks  of  recordings  to  Mail  Online  of  conversations  between 
the  Claimant  and  Ms  Heard.  The  email  [File  8/86/148]  read: "
timexy,15,July  2019,"TIMEX3 type=""DATE"" value=""2019-07-01T00:00:00""","Mr  Waldman’s  role  has  not  been  confined  to  leaking  material  to  the  press.  He  has  also 
been  instrumental  in  obtaining  evidence  for  this  case.  Laura  Divinere  explained  in  her 
conversation  with  Ms  Heard  in  July  2019  the  pressure  she  was  put  under  by  Mr  Waldman 
to  sign  a  declaration  for  the  Claimant.  She  said  that  Mr  Waldman  told  her  that  he  had  her 
on  file  and  photographed/on  camera  at  the  Eastern  Columbia  building,  that  she  was 
conspiring  with  Ms  Heard’s  group  and  that  he  would  subpoena  her  for  a  deposition  if  she 
did  not  speak  to  him  and  sign  a  declaration  in  support  of  his  client.  He  said  that  the 
deposition  process  would  cost  her  about  fifteen  to  twenty  thousand  dollars,  and  that  he 
would  be  subpoenaing  other  people  in  Ms  Heard’s  group  for  perjury.  She  told  Ms  Heard 
that  as  a  result  she  was  left  shaken  for  days  and  had  not  slept  for  a  number  of  nights. "
timexy,15,16  July  2019,"TIMEX3 type=""DATE"" value=""2019-07-16T00:00:00""","a  text  to  Ms  Heard  on  16  July  2019  [File  7/56(a)/H206]  that 
Ms  Divinere  confirmed  in 
what  she  had  told  Ms  Heard  in  the  recorded  conversation  had  been  true.  Ms  Divinere  said 
in  evidence  that  she  did  not  know  the  conversation  was  being  recorded.  This  makes  the 
recording  all  the  more  compelling  as  evidence,  as  Ms  Divinere  would  have  no  reason  not 
to  be  sincere  during  the  conversation.? "
timexy,15,22  June  2019,"TIMEX3 type=""DATE"" value=""2019-06-22T00:00:00""","In  her  oral  evidence  Ms  Divinere  said  that  she  had  been  made  uncomfortable  by  Mr 
Waldman’s  text  to  her  of  22  June  2019  asking  her  to  assist  because  he  had  evidence  of 
her  ‘constant  interactions’  with  Ms  Heard  (‘you  were  with  her  immediately  prior  to  and 
immediately  after  she  created  this  hoax’).  He  told  her  that  if  she  chose  the  side  of  what 
he  called  the  “hoax’/“suppression  of  truth”  then  he  would  subpoena  her  to  compel 
a  sworn  deposition  [File  4/120/F698}.  Ms  Divenere  said  that  she  felt 
attendance  at 
‘pressured’  by  Mr  Waldman  to  say  things  unfavourable  to  Ms  Heard  [9/1463/4-11]  and 
that  she  felt  “pressured  with  most  of  the  questions”  that  Mr  Waldman  asked  [9/1464/19- "
