label,page,text,id,surrounding_text
timexy,3,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00"""," 
     8      A.  On my shoulder up here, yes. 
 
     9      Q.  Visible or not visible? 
 
    10      A.  Visible if I have no sleeves or if my shirt is off. 
 
    11      Q.  When did you get the tattoo changed from ""Winona"" to ""wino 
    12          forever"", was it the beginning of 2013? 
 
    13      A.  No, sir.  The tattoo was altered in about 1993. 
 
    14      Q.  1993? 
 
    15      A.  Yes. 
 
    16      Q.  So, throughout your relationship in the 18 months or so before 
    17          2013, that is the incident we are talking about, the tattoo 
    18          had always read ""wino forever""; yes or no? 
 
    19      A.  Yes, that is correct. 
 
    20      Q.  Was March 2013 the first time Ms. Heard had ever seen your 
    21          tattoo? 
 
    22      A.  No, sir. 
 "
timexy,3,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00"""," 
     8      A.  On my shoulder up here, yes. 
 
     9      Q.  Visible or not visible? 
 
    10      A.  Visible if I have no sleeves or if my shirt is off. 
 
    11      Q.  When did you get the tattoo changed from ""Winona"" to ""wino 
    12          forever"", was it the beginning of 2013? 
 
    13      A.  No, sir.  The tattoo was altered in about 1993. 
 
    14      Q.  1993? 
 
    15      A.  Yes. 
 
    16      Q.  So, throughout your relationship in the 18 months or so before 
    17          2013, that is the incident we are talking about, the tattoo 
    18          had always read ""wino forever""; yes or no? 
 
    19      A.  Yes, that is correct. 
 
    20      Q.  Was March 2013 the first time Ms. Heard had ever seen your 
    21          tattoo? 
 
    22      A.  No, sir. 
 "
timexy,4,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","Incident 2: The Painting Incident/ Keith Richards Incident, March 2013   
 "
DATE,6,The day,,"  9      Q.  There is no reason why you should not, but it means that if 
    10          you do hit someone with the back of your hand, it is likely to 
    11          cause more injury than somebody who does not have rings on, do 
    12          you agree? 
 
    13      A.  I would say, yes, absolutely. 
 
    14      Q.  I suggest that you hit her with the back of your hand and that 
    15          was very, very painful to Ms. Heard, and that was quite 
    16          obvious to you, that you had caused her considerable pain? 
 
    17      MR. JUSTICE NICOL:  Do you agree with that, Mr. Depp? 
 
    18      A.  I did not hit Ms. Heard, and furthermore I have never hit 
    19          Ms. Heard. 
 
    20      MS. WASS:  The day after the night of the painting, you were due 
    21          to appear on a film set.  I think the film set was at 
    22          Sweetzer, your house at Sweetzer, because you were filming a 
    23          documentary about Keith Richards? 
 
    24      A.  Yes, ma'am, that is true. "
timexy,7,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",18      Q.  And there was a date in March 2013 when you were extremely 
DATE,7,a day,,"    13      Q.  And people were waiting for you, were they not, at the film 
    14          set? 
 
    15      A.  Waiting for me?  It was a day where it was not an interview 
    16          per se between Keith Richards and myself, which had already 
    17          been filmed.  It was a day when Keith Richards and Tom Waits 
    18          were performing together in the studio, the live recording 
    19          studio, and I had made a call to my first assistant director, 
    20          my director of photography, and to the focus people, who were 
    21          all very dear friends and very talented.  I told them I was 
    22          going to be held up for a while, but to go on without me 
    23          because essentially all they needed to do was capture.  It was 
    24          just filming Keith and Tom ---- 
 
    25      Q.  I understand, I understand. 
 "
DATE,7,a day,,"    13      Q.  And people were waiting for you, were they not, at the film 
    14          set? 
 
    15      A.  Waiting for me?  It was a day where it was not an interview 
    16          per se between Keith Richards and myself, which had already 
    17          been filmed.  It was a day when Keith Richards and Tom Waits 
    18          were performing together in the studio, the live recording 
    19          studio, and I had made a call to my first assistant director, 
    20          my director of photography, and to the focus people, who were 
    21          all very dear friends and very talented.  I told them I was 
    22          going to be held up for a while, but to go on without me 
    23          because essentially all they needed to do was capture.  It was 
    24          just filming Keith and Tom ---- 
 
    25      Q.  I understand, I understand. 
 "
DATE,9,DAY 4,,DAY 4 (Re-examination of Mr Depp)  
DATE,10,"the middle of 
    24",,"    24      Q.  That is in your witness statement, and that was put to you. 
 
    25      A.  Yes. 
 
 
P.633   
    21      Q.  It is accepted by Ms. Heard that that incident took place on 
    22          22nd March, not 8th March, as she originally said.  Now, on 
    23          this occasion, you were, as you have said, in the middle of 
    24          filming the Keith Richards documentary; is that right? 
 
    25      A.  Yes. 
 
P. 634  
    21      Q.  Can you explain to this court then, what was the actual 
    22          argument that took place over the night and into the next 
    23          morning of the day that you were meant to be on set for the 
    24          Keith Richards documentary? 
 
    25      A.  The night prior to Ms. Heard had had a dinner party with all 
 
P.635  
     2          of her friends over.  And it was, a Hispanic woman, a girl, 
     3          who was a friend of Amber's and we struck up a conversation 
     4          and she started to speak of a mutual friend of theirs in 
     5          Spain, I believe his name was Raphael, he was a police 
     6          officer.  But Ms. Heard had explained to me he was an old 
     7          friend. 
 
     8      Q.  Slow down slightly, his Lordship is taking a note. 
 
     9      A.  Pardon me.  Ms. Heard explained to me she was going to visit 
    10          him in Spain at one point that he was just a friend, all that, 
    11          that nothing had ever happened between them and she went and 
    12          stayed with him for, I believe it was ten days, two weeks.  On 
    13          the night before the Keith Richards documentary day, I had, 
    14          the young lady had told me of a ---- 
 
    15      Q.  This is the Hispanic friend? 
 
    16      A.  Yes.  I cannot remember her name, sorry.  She had told me that 
    17          she also, that he is a very nice guy, that she also goes and 
    18          stays there, and that they all sort of slept in his bed and 
    19          Ms. Heard was -- she put it to me that Ms. Heard had been in 
    20          a, had had an affair with him before.  So, I for all intents 
    21          and purposes had found Ms. Heard to be lying about the 
    22          situation and her relationship with this man. 
 
    23      Q.  That was the night before.  Did that give rise to a 
    24          conversation between you and Ms. Heard? 
 
    25      A.  Yes.  There was -- because I brought the truth up to Ms. Heard 
 
P.636 "
DATE,10,"the next 
    23          morning of the day",,"    24      Q.  That is in your witness statement, and that was put to you. 
 
    25      A.  Yes. 
 
 
P.633   
    21      Q.  It is accepted by Ms. Heard that that incident took place on 
    22          22nd March, not 8th March, as she originally said.  Now, on 
    23          this occasion, you were, as you have said, in the middle of 
    24          filming the Keith Richards documentary; is that right? 
 
    25      A.  Yes. 
 
P. 634  
    21      Q.  Can you explain to this court then, what was the actual 
    22          argument that took place over the night and into the next 
    23          morning of the day that you were meant to be on set for the 
    24          Keith Richards documentary? 
 
    25      A.  The night prior to Ms. Heard had had a dinner party with all 
 
P.635  
     2          of her friends over.  And it was, a Hispanic woman, a girl, 
     3          who was a friend of Amber's and we struck up a conversation 
     4          and she started to speak of a mutual friend of theirs in 
     5          Spain, I believe his name was Raphael, he was a police 
     6          officer.  But Ms. Heard had explained to me he was an old 
     7          friend. 
 
     8      Q.  Slow down slightly, his Lordship is taking a note. 
 
     9      A.  Pardon me.  Ms. Heard explained to me she was going to visit 
    10          him in Spain at one point that he was just a friend, all that, 
    11          that nothing had ever happened between them and she went and 
    12          stayed with him for, I believe it was ten days, two weeks.  On 
    13          the night before the Keith Richards documentary day, I had, 
    14          the young lady had told me of a ---- 
 
    15      Q.  This is the Hispanic friend? 
 
    16      A.  Yes.  I cannot remember her name, sorry.  She had told me that 
    17          she also, that he is a very nice guy, that she also goes and 
    18          stays there, and that they all sort of slept in his bed and 
    19          Ms. Heard was -- she put it to me that Ms. Heard had been in 
    20          a, had had an affair with him before.  So, I for all intents 
    21          and purposes had found Ms. Heard to be lying about the 
    22          situation and her relationship with this man. 
 
    23      Q.  That was the night before.  Did that give rise to a 
    24          conversation between you and Ms. Heard? 
 
    25      A.  Yes.  There was -- because I brought the truth up to Ms. Heard 
 
P.636 "
timexy,10,ten days,"TIMEX3 type=""DURATION"" value=""P10D""","    24      Q.  That is in your witness statement, and that was put to you. 
 
    25      A.  Yes. 
 
 
P.633   
    21      Q.  It is accepted by Ms. Heard that that incident took place on 
    22          22nd March, not 8th March, as she originally said.  Now, on 
    23          this occasion, you were, as you have said, in the middle of 
    24          filming the Keith Richards documentary; is that right? 
 
    25      A.  Yes. 
 
P. 634  
    21      Q.  Can you explain to this court then, what was the actual 
    22          argument that took place over the night and into the next 
    23          morning of the day that you were meant to be on set for the 
    24          Keith Richards documentary? 
 
    25      A.  The night prior to Ms. Heard had had a dinner party with all 
 
P.635  
     2          of her friends over.  And it was, a Hispanic woman, a girl, 
     3          who was a friend of Amber's and we struck up a conversation 
     4          and she started to speak of a mutual friend of theirs in 
     5          Spain, I believe his name was Raphael, he was a police 
     6          officer.  But Ms. Heard had explained to me he was an old 
     7          friend. 
 
     8      Q.  Slow down slightly, his Lordship is taking a note. 
 
     9      A.  Pardon me.  Ms. Heard explained to me she was going to visit 
    10          him in Spain at one point that he was just a friend, all that, 
    11          that nothing had ever happened between them and she went and 
    12          stayed with him for, I believe it was ten days, two weeks.  On 
    13          the night before the Keith Richards documentary day, I had, 
    14          the young lady had told me of a ---- 
 
    15      Q.  This is the Hispanic friend? 
 
    16      A.  Yes.  I cannot remember her name, sorry.  She had told me that 
    17          she also, that he is a very nice guy, that she also goes and 
    18          stays there, and that they all sort of slept in his bed and 
    19          Ms. Heard was -- she put it to me that Ms. Heard had been in 
    20          a, had had an affair with him before.  So, I for all intents 
    21          and purposes had found Ms. Heard to be lying about the 
    22          situation and her relationship with this man. 
 
    23      Q.  That was the night before.  Did that give rise to a 
    24          conversation between you and Ms. Heard? 
 
    25      A.  Yes.  There was -- because I brought the truth up to Ms. Heard 
 
P.636 "
timexy,10,two weeks,"TIMEX3 type=""DURATION"" value=""P2W""","    24      Q.  That is in your witness statement, and that was put to you. 
 
    25      A.  Yes. 
 
 
P.633   
    21      Q.  It is accepted by Ms. Heard that that incident took place on 
    22          22nd March, not 8th March, as she originally said.  Now, on 
    23          this occasion, you were, as you have said, in the middle of 
    24          filming the Keith Richards documentary; is that right? 
 
    25      A.  Yes. 
 
P. 634  
    21      Q.  Can you explain to this court then, what was the actual 
    22          argument that took place over the night and into the next 
    23          morning of the day that you were meant to be on set for the 
    24          Keith Richards documentary? 
 
    25      A.  The night prior to Ms. Heard had had a dinner party with all 
 
P.635  
     2          of her friends over.  And it was, a Hispanic woman, a girl, 
     3          who was a friend of Amber's and we struck up a conversation 
     4          and she started to speak of a mutual friend of theirs in 
     5          Spain, I believe his name was Raphael, he was a police 
     6          officer.  But Ms. Heard had explained to me he was an old 
     7          friend. 
 
     8      Q.  Slow down slightly, his Lordship is taking a note. 
 
     9      A.  Pardon me.  Ms. Heard explained to me she was going to visit 
    10          him in Spain at one point that he was just a friend, all that, 
    11          that nothing had ever happened between them and she went and 
    12          stayed with him for, I believe it was ten days, two weeks.  On 
    13          the night before the Keith Richards documentary day, I had, 
    14          the young lady had told me of a ---- 
 
    15      Q.  This is the Hispanic friend? 
 
    16      A.  Yes.  I cannot remember her name, sorry.  She had told me that 
    17          she also, that he is a very nice guy, that she also goes and 
    18          stays there, and that they all sort of slept in his bed and 
    19          Ms. Heard was -- she put it to me that Ms. Heard had been in 
    20          a, had had an affair with him before.  So, I for all intents 
    21          and purposes had found Ms. Heard to be lying about the 
    22          situation and her relationship with this man. 
 
    23      Q.  That was the night before.  Did that give rise to a 
    24          conversation between you and Ms. Heard? 
 
    25      A.  Yes.  There was -- because I brought the truth up to Ms. Heard 
 
P.636 "
DATE,11,that day,,"     3          very upset, and I thought that we should sit and discuss it 
     4          and get to the bottom of it, and so that I could know the 
     5          truth, I wanted just the truth.  She was still very reluctant 
     6          to give that to me.  So, I wanted to stay until we got to the 
     7          bottom of it.  I called ---- 
 
     8      Q.  I was going to ask, you said you wanted to stay.  It was put, 
     9          or suggested in the witness statement -- I am not sure it was 
    10          put to you, but it is suggested in Ms. Heard's witness 
    11          statement that you were deliberately keeping everyone waiting 
    12          and that was irresponsible.  Did you or did you not have any 
    13          contact with the film set? 
 
    14      A.  I did.  Once the argument had commenced, I called my first 
    15          assistant director and my director of photography and the gent 
    16          who pulls focus on the camera, and since it was not a day 
    17          where I had to interview Keith Richards, it was a day of Keith 
    18          Richards and Tom Waits were at my studio and they were 
    19          recording and playing and we were documenting it.  So, I just 
    20          told them, there is nothing that I can do there, I am going to 
    21          be a bit late.  All you have to do is point the camera and 
    22          shoot, just capture whatever Mr. Waits and Mr. Richards are 
    23          willing to give. 
 
    24      Q.  I will not take you to the text as we do not need to go there. 
    25          So that is the argument that you were talking about, when you 
 
P.637 
     2          said ""the nasty argument"" in answer to Ms. Wass? 
 
     3      A.  Yes. 
 
 
P.638  
    21      Q.  Now, Mr. Depp, the allegation against you was that on the 
    22          night or in the early hours of the morning of that day, the 
    23          night before the early hours of the morning, you hit Ms. Heard 
    24          so hard that it bust her lip so blood was left on the wall as 
    25          a result.  That is what Ms. Heard said. 
 
P. 639 "
DATE,12,DAY 11,,DAY 11 (Cross-examination of Amber Heard) 
DATE,12,20th March,,"P.1792 
 
2      MS. LAWS:  I think there is an e-mail exchange which I can go to 
     3          which indicates that Keith Richards was looking forward to 
     4          seeing you.  That was on 20th March.  Is this you in the 
     5          photograph with Mr. Richards? 
 
     6      A.  Yes, it is. 
 
     7      MR. JUSTICE NICOL:  Just a minute.  (Pause) Which one are you, 
     8          please? 
 
     9      A.  I am in between Johnny and Keith.  That is my sister next to 
    10          Keith. 
 
    11      MR. JUSTICE NICOL:  Yes. 
 
    12      MS. LAWS:  Do you agree that there is absolutely no injury on your 
    13          face in this photograph? 
 
    14      A.  I cannot tell in this photograph. 
 
    15      Q.  When do you say the incident took place?  Are you sticking 
    16          with 23rd March? 
 
    17      MR. JUSTICE NICOL:  22nd March. 
 
    18      MS. LAWS:  22nd March, sorry.  Are you sticking with that date, 
    19          22nd March? 
 
    20      A.  For the painting incident or the one that we called disco 
    21          bloodbath? 
 
    22      Q.  The painting incident where you say you went to Keith 
    23          Richards' filming? 
 
    24      A.  The painting incident took place on the 22nd. 
 
    25      MR. JUSTICE NICOL:  22nd March 2013? 
 
P.1793 
 
      2      A.  Yes, exactly. 
 
     3      MS. LAWS:  Does this photograph show you before or after you were 
     4          hit by Mr. Depp? 
 "
DATE,12,23rd March,,"P.1792 
 
2      MS. LAWS:  I think there is an e-mail exchange which I can go to 
     3          which indicates that Keith Richards was looking forward to 
     4          seeing you.  That was on 20th March.  Is this you in the 
     5          photograph with Mr. Richards? 
 
     6      A.  Yes, it is. 
 
     7      MR. JUSTICE NICOL:  Just a minute.  (Pause) Which one are you, 
     8          please? 
 
     9      A.  I am in between Johnny and Keith.  That is my sister next to 
    10          Keith. 
 
    11      MR. JUSTICE NICOL:  Yes. 
 
    12      MS. LAWS:  Do you agree that there is absolutely no injury on your 
    13          face in this photograph? 
 
    14      A.  I cannot tell in this photograph. 
 
    15      Q.  When do you say the incident took place?  Are you sticking 
    16          with 23rd March? 
 
    17      MR. JUSTICE NICOL:  22nd March. 
 
    18      MS. LAWS:  22nd March, sorry.  Are you sticking with that date, 
    19          22nd March? 
 
    20      A.  For the painting incident or the one that we called disco 
    21          bloodbath? 
 
    22      Q.  The painting incident where you say you went to Keith 
    23          Richards' filming? 
 
    24      A.  The painting incident took place on the 22nd. 
 
    25      MR. JUSTICE NICOL:  22nd March 2013? 
 
P.1793 
 
      2      A.  Yes, exactly. 
 
     3      MS. LAWS:  Does this photograph show you before or after you were 
     4          hit by Mr. Depp? 
 "
DATE,12,22nd March,,"P.1792 
 
2      MS. LAWS:  I think there is an e-mail exchange which I can go to 
     3          which indicates that Keith Richards was looking forward to 
     4          seeing you.  That was on 20th March.  Is this you in the 
     5          photograph with Mr. Richards? 
 
     6      A.  Yes, it is. 
 
     7      MR. JUSTICE NICOL:  Just a minute.  (Pause) Which one are you, 
     8          please? 
 
     9      A.  I am in between Johnny and Keith.  That is my sister next to 
    10          Keith. 
 
    11      MR. JUSTICE NICOL:  Yes. 
 
    12      MS. LAWS:  Do you agree that there is absolutely no injury on your 
    13          face in this photograph? 
 
    14      A.  I cannot tell in this photograph. 
 
    15      Q.  When do you say the incident took place?  Are you sticking 
    16          with 23rd March? 
 
    17      MR. JUSTICE NICOL:  22nd March. 
 
    18      MS. LAWS:  22nd March, sorry.  Are you sticking with that date, 
    19          22nd March? 
 
    20      A.  For the painting incident or the one that we called disco 
    21          bloodbath? 
 
    22      Q.  The painting incident where you say you went to Keith 
    23          Richards' filming? 
 
    24      A.  The painting incident took place on the 22nd. 
 
    25      MR. JUSTICE NICOL:  22nd March 2013? 
 
P.1793 
 
      2      A.  Yes, exactly. 
 
     3      MS. LAWS:  Does this photograph show you before or after you were 
     4          hit by Mr. Depp? 
 "
DATE,12,the 22nd,,"P.1792 
 
2      MS. LAWS:  I think there is an e-mail exchange which I can go to 
     3          which indicates that Keith Richards was looking forward to 
     4          seeing you.  That was on 20th March.  Is this you in the 
     5          photograph with Mr. Richards? 
 
     6      A.  Yes, it is. 
 
     7      MR. JUSTICE NICOL:  Just a minute.  (Pause) Which one are you, 
     8          please? 
 
     9      A.  I am in between Johnny and Keith.  That is my sister next to 
    10          Keith. 
 
    11      MR. JUSTICE NICOL:  Yes. 
 
    12      MS. LAWS:  Do you agree that there is absolutely no injury on your 
    13          face in this photograph? 
 
    14      A.  I cannot tell in this photograph. 
 
    15      Q.  When do you say the incident took place?  Are you sticking 
    16          with 23rd March? 
 
    17      MR. JUSTICE NICOL:  22nd March. 
 
    18      MS. LAWS:  22nd March, sorry.  Are you sticking with that date, 
    19          22nd March? 
 
    20      A.  For the painting incident or the one that we called disco 
    21          bloodbath? 
 
    22      Q.  The painting incident where you say you went to Keith 
    23          Richards' filming? 
 
    24      A.  The painting incident took place on the 22nd. 
 
    25      MR. JUSTICE NICOL:  22nd March 2013? 
 
P.1793 
 
      2      A.  Yes, exactly. 
 
     3      MS. LAWS:  Does this photograph show you before or after you were 
     4          hit by Mr. Depp? 
 "
timexy,12,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","P.1792 
 
2      MS. LAWS:  I think there is an e-mail exchange which I can go to 
     3          which indicates that Keith Richards was looking forward to 
     4          seeing you.  That was on 20th March.  Is this you in the 
     5          photograph with Mr. Richards? 
 
     6      A.  Yes, it is. 
 
     7      MR. JUSTICE NICOL:  Just a minute.  (Pause) Which one are you, 
     8          please? 
 
     9      A.  I am in between Johnny and Keith.  That is my sister next to 
    10          Keith. 
 
    11      MR. JUSTICE NICOL:  Yes. 
 
    12      MS. LAWS:  Do you agree that there is absolutely no injury on your 
    13          face in this photograph? 
 
    14      A.  I cannot tell in this photograph. 
 
    15      Q.  When do you say the incident took place?  Are you sticking 
    16          with 23rd March? 
 
    17      MR. JUSTICE NICOL:  22nd March. 
 
    18      MS. LAWS:  22nd March, sorry.  Are you sticking with that date, 
    19          22nd March? 
 
    20      A.  For the painting incident or the one that we called disco 
    21          bloodbath? 
 
    22      Q.  The painting incident where you say you went to Keith 
    23          Richards' filming? 
 
    24      A.  The painting incident took place on the 22nd. 
 
    25      MR. JUSTICE NICOL:  22nd March 2013? 
 
P.1793 
 
      2      A.  Yes, exactly. 
 
     3      MS. LAWS:  Does this photograph show you before or after you were 
     4          hit by Mr. Depp? 
 "
DATE,13,all day,,"    25      MS. LAWS:  When you said moments ago you could not tell whether 
 
P.1794 
     2          there was some sort of injury on that photograph, that was a 
     3          lie, was it not? 
 
     4      A.  No, it is because when Johnny hit me on one of the many 
     5          occasions in March in which there was violence, the one 
     6          particular incident that I had referred to as disco bloodbath 
     7          is because it got some blood on a little of my T-shirt, but 
     8          also on the wall, and that was in relation to a different 
     9          incident.  I remember that well because he had his rings on 
    10          and when he backhanded me, it cut the inside of my lip.  So 
    11          even though this was taken before the incident ---- 
 
 
P.1796 
 
9      Q.  ""Eventually we got him to come down enough, we got in the 
    10          car"", and then you give quite a detailed, an elaborate account 
    11          of how he was holding the dog out of the car.  When you got on 
    12          set, ""he walked in as if he had not kept anyone waiting, 
    13          everyone welcomed him as if nothing had happened, even though 
    14          I knew people were really frustrated and pissed off that he 
    15          had not showed up all day."" 
    16                So, what you are giving a very detailed description of 
    17          is an argument that goes on overnight, it is over the 
    18          painting, and during the argument, Mr. Depp attempts to set 
    19          fire to the painting, that is one aspect.  The other aspect is 
    20          a very serious assault upon you with him hitting you in the 
    21          face with the back of his hand, drawing blood, some of which 
    22          ended up on the wall.  Can you describe how that actually 
    23          happened, the blood went from your lip to the wall, tell us 
    24          how that happened? 
 
    25      A.  I did not watch the blood itself. 
 
P.1797 
     2      Q.  How hard was it, just explain how he did this? 
 "
DATE,14,those days,,"     3      A.  Johnny back in those days had not gotten to the point of 
 
     4          choking me or any of the other, headbutting me or any of the 
     5          other more violent things ---- 
 
     6      Q.  We will go a lot quicker if you answer the question about this 
     7          incident.  How did he manage to assault you in such a way that 
     8          blood spattered on the wall?  Can you explain in a little more 
     9          detail, please? 
 
    10      A.  I am, I am trying to explain to you the best I can. 
 
    11      Q.  Of this incident, please? 
 
    12      A.  That is exactly what I was doing. 
 
    13      MR. JUSTICE NICOL:  Let us get on with your description, as to how 
    14          this occurred. 
 
    15      THE WITNESS:  Thank you, your Lordship.  So, back then, it was 
    16          just slaps or backhands.  And when he backhanded me, it was 
    17          still so early, it was a shock, it was fairly traumatic at 
    18          that time.  In retrospect I feel different, but at the time 
    19          that is all I happened to notice.  I felt his rings hit my 
    20          mouth, my teeth. 
 
    21      MS. LAWS:  How close to the wall were you? 
 
    22      A.  We were standing -- it was actually in his downtown place, we 
    23          were not at Orange.  It happened on the 8th.  That is what 
    24          I was trying to describe to you earlier. 
 
    25      MR. JUSTICE NICOL:  You were not at Orange, you were where? 
 
P.1798 
     2      A.  We were at his downtown place. 
 
     3      Q.  Is that Sweetzer? 
 
     4      A.  No.  A different, this is what we call the Eastern Columbia 
     5          Building.  And as I tried to describe in my seventh of the 
     6          witness statement, all of the details of these incidents 
     7          remain true, I remember them perfectly.  There has been a 
     8          mistake with dates and which incident happened when, and I, in 
     9          reviewing materials, have understood that that particular 
    10          moment, which we later called ""disco bloodbath"", happened on 
    11          the 8th downtown and this is ---- 
 
    12      MS. LAWS:  We will come on to -- sorry ---- 
 
    13      A.  -- (unclear due to overspeaking) ---- 
 
    14      MR. JUSTICE NICOL:  Please, I do want to hear one person at a 
    15          time. 
 "
