file,label,page,text,id,surrounding_text,link
0.pdf,DATE,10,around the summer of 2012,,"37.  We had been in sporadic and irregular communication from around the summer of 2012, ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=10
0.pdf,DATE,10,the end of 2012,,"unreliable. We didn’t have Thanksgiving or Christmas together at the end of 2012, which ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=10
0.pdf,DATE,10,early 2013,,also made me really sad. But I went to join him on the island in early 2013. After I left ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=10
0.pdf,DATE,10,the beginning of the next three or so years,,to get bad. It was the beginning of the next three or so years.  ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=10
0.pdf,timexy,11,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=11
0.pdf,timexy,11,seven day,"TIMEX3 type=""DURATION"" value=""P7D""","alcoholics’ support group, a seven day or a month chip; or he would have a new sober ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=11
0.pdf,DATE,11,a little over a year,,"It was a little over a year into the relationship. It was cold, so it might have been winter. ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=11
0.pdf,timexy,12,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=12
0.pdf,timexy,13,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13
0.pdf,timexy,13,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","Painting incident, March 2013  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13
0.pdf,timexy,13,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","Painting incident, March 2013  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13
0.pdf,timexy,13,one day,"TIMEX3 type=""DURATION"" value=""P1D""","it many times and he had never said anything, but one day after he had been doing a ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13
0.pdf,DATE,13,that day,,"54.  Johnny was sparked off that day by cocaine, pills, weed, and booze; he was snorting ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13
0.pdf,DATE,13,the next day,,painting – I think it was in the evening – and it carried on over into the next day. I don’t ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13
0.pdf,DATE,13,next  day,,next  day.    At  one  point  he  tried  to  set  the  painting  on  fire  with  his  lighter.  I  had  to ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13
0.pdf,timexy,14,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=14
0.pdf,DATE,14,the day,,"the day before, so why are you upset this random day?” He didn’t have any answer; it ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=14
0.pdf,timexy,15,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=15
0.pdf,DATE,15,all day,,frustrated and pissed off that he hadn’t showed up all day. I remember being alarmed at ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=15
0.pdf,timexy,15,24 May 2014,"TIMEX3 type=""DATE"" value=""2014-05-24T00:00:00""","Boston – LA flight, 24 May 2014 ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=15
0.pdf,timexy,16,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=16
0.pdf,timexy,17,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=17
0.pdf,timexy,18,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=18
0.pdf,DATE,18,25 May,,"78.  Soon after the incident, on 25 May, Johnny texted me to say: “Once again I find myself ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=18
0.pdf,timexy,19,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=19
0.pdf,DATE,19,4 to 7,,[…]”. I exhibit these at AH 1 pages 4 to 7. This is the sort of conversation we had regularly ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=19
0.pdf,timexy,20,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=20
0.pdf,timexy,20,August 2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""","Bahamas, August 2014 ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=20
0.pdf,DATE,20,August of 2014,,"In August of 2014, Johnny attempted to kick his addiction to prescription painkillers and ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=20
0.pdf,timexy,21,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=21
0.pdf,DATE,21,17 August,,"88.  At one point during the detox, I think it was on 17 August, he kicked and pushed me so ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=21
0.pdf,DATE,21,a few days,,"been so crazy on the island, so I went to stay in a hotel for a few days. I was in open ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=21
0.pdf,DATE,21,the next couple of months,,"92.  Johnny wasn’t around much for the next couple of months, but towards the end of the ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=21
0.pdf,timexy,21,17 December 2014,"TIMEX3 type=""DATE"" value=""2014-12-17T00:00:00""",17 December 2014 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=21
0.pdf,timexy,21,17 December 2014,"TIMEX3 type=""DATE"" value=""2014-12-17T00:00:00""",17 December 2014 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=21
0.pdf,timexy,22,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=22
0.pdf,timexy,22,January 2015,"TIMEX3 type=""DATE"" value=""2015-01-01T00:00:00""","Tokyo, January 2015  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=22
0.pdf,timexy,22,February 2015,"TIMEX3 type=""DATE"" value=""2015-02-01T00:00:00""",97.  Johnny and I got married in February 2015. We fought on our wedding night over his ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=22
0.pdf,timexy,23,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=23
0.pdf,timexy,23,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","Australia, March 2015  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=23
0.pdf,timexy,23,three days,"TIMEX3 type=""DURATION"" value=""P3D""","hostage situation. We were due to be there for three days on our own, but it was only ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=23
0.pdf,timexy,24,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=24
0.pdf,DATE,24,a multiple day,,"pattern of repeated, drug induced psychosis and violence, who was on a multiple day ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=24
0.pdf,timexy,24,three days,"TIMEX3 type=""DURATION"" value=""P3D""","drug and alcohol binge. Over the course of those three days, there were extreme acts ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=24
0.pdf,DATE,24,The next day,,105.   The next day I came downstairs and he was still up and had music blaring. He was on ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=24
0.pdf,timexy,25,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=25
0.pdf,DATE,25,the day,,"screaming at me. Over the course of the day, he kept attacking me – he hit me, pushed ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=25
0.pdf,timexy,26,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=26
0.pdf,timexy,27,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=27
0.pdf,timexy,28,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=28
0.pdf,DATE,28,three  days,,for  three  days.  They  asked  me  what  had  happened  and  I  told  them  about  Johnny’s ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=28
0.pdf,timexy,29,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=29
0.pdf,DATE,29,the next day,,constantly in a panic. I got through the night and packed the next day. Johnny’s driver ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=29
0.pdf,timexy,30,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=30
0.pdf,timexy,30,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","Staircase incident, March 2015  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=30
0.pdf,timexy,31,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=31
0.pdf,timexy,31,August 2015,"TIMEX3 type=""DATE"" value=""2015-08-01T00:00:00""","Malaysia train, August 2015  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=31
0.pdf,timexy,31,November 2015,"TIMEX3 type=""DATE"" value=""2015-11-01T00:00:00""","Los Angeles, November 2015 ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=31
0.pdf,timexy,31,December 2015,"TIMEX3 type=""DATE"" value=""2015-12-01T00:00:00""","Los Angeles, December 2015  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=31
0.pdf,timexy,31,15 December 2015,"TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""",137.  This happened on the night of 15 December 2015. This was one of the worst and most ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=31
0.pdf,DATE,31,"the 

31",,,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=31
0.pdf,timexy,32,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=32
0.pdf,timexy,33,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=33
0.pdf,DATE,33,at least a week,,the phone.  I had horrible headaches and pain in my face for at least a week after this ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=33
0.pdf,DATE,33,18 to 31,,"a clump of hair on the carpet, which I exhibit at AH 1 pages 18 to 31. As I explained, I ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=33
0.pdf,DATE,33,the next day,,"Corden, the next day. My face was all bruised and I was very shaken up and upset, so ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=33
0.pdf,DATE,33,next  day,,145.  That  night  and  the  next  day  were  really  hard.  I  ended  up  deciding  to  do  the  show ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=33
0.pdf,DATE,33,all day,,hurt when they did my hair. I was really upset all day. But I just got on with it and did my ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=33
0.pdf,DATE,33,A day or so later,,"146.  A day or so later I wanted to follow up the telephone concussion check, so I went to Dr ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=33
0.pdf,timexy,34,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=34
0.pdf,DATE,34,A few days later,,"147.  A few days later, on 20 December, Johnny and I spoke about what he had done. I said ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=34
0.pdf,DATE,34,20 December,,"147.  A few days later, on 20 December, Johnny and I spoke about what he had done. I said ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=34
0.pdf,DATE,34,20 December,,"147.  A few days later, on 20 December, Johnny and I spoke about what he had done. I said ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=34
0.pdf,timexy,34,April 2016,"TIMEX3 type=""DATE"" value=""2016-04-01T00:00:00""","Birthday party, April 2016  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=34
0.pdf,timexy,34,21  April  2016,"TIMEX3 type=""DATE"" value=""2016-04-21T00:00:00""",148.  On  21  April  2016  I  was  having  my  30th  birthday  party  with  friends  at  the  penthouse. ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=34
0.pdf,timexy,35,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=35
0.pdf,DATE,35,the weeks,,153.  In the weeks after this incident my friends and family were increasingly worried for my ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=35
0.pdf,timexy,35,21 May 2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","Los Angeles, 21 May 2016  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=35
0.pdf,timexy,35,21  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""",155.  The  next  time  I  saw  Johnny  was  on  21  May  2016  when  we  met  at  the  apartment  to ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=35
0.pdf,timexy,36,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=36
0.pdf,DATE,36,a month,,seen each other for a month and his mother had just died. We called Kevin Murphy and ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=36
0.pdf,timexy,37,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=37
0.pdf,timexy,38,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=38
0.pdf,DATE,38,the next few days,,"170.  Over the next few days I left the apartment a few times, including to see my lawyer and ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=38
0.pdf,DATE,38,the next day,,171.  I attended my friend Amanda de Cadenet’s birthday party the next day. I had promised ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=38
0.pdf,DATE,38,the day,,it and asking me if I was ok. I was just doing the best I could to get through the day. ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=38
0.pdf,timexy,38,23  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-23T00:00:00""","marriage  on  23  May  2016,  and  on  27  May  2016  I  filed  an  application  for  a  domestic ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=38
0.pdf,timexy,38,27  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-27T00:00:00""","marriage  on  23  May  2016,  and  on  27  May  2016  I  filed  an  application  for  a  domestic ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=38
0.pdf,DATE,38,"the 

months",,,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=38
0.pdf,DATE,38,the years,,"Over the years, Johnny threatened me a lot about me leaving him – even when things ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=38
0.pdf,timexy,39,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=39
0.pdf,DATE,39,every single day,,"or leave me, I will make sure you live to regret it every single day”. He told me he would ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=39
0.pdf,DATE,39,every day,,"me every day about the fact I have left him, but I do not regret leaving him. ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=39
0.pdf,DATE,39,15 August,,176.  On 15 August Johnny and I executed a Deal Point Memorandum resolving the issues ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=39
0.pdf,timexy,39,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=39
0.pdf,timexy,40,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=40
1.pdf,timexy,1,19 February 2020,"TIMEX3 type=""DATE"" value=""2020-02-19T00:00:00""",Date:  19 February 2020 ,https://www.nickwallis.com/_files/ugd/5df505_786b359e45424370b08d40344ff8ecf1.pdf#page=1
1.pdf,timexy,1,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",2.  In this claim I have approved and signed a witness statement dated 15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_786b359e45424370b08d40344ff8ecf1.pdf#page=1
1.pdf,timexy,1,4 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-04T00:00:00""","Defendants in this action, has provided a witness statement dated 4 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_786b359e45424370b08d40344ff8ecf1.pdf#page=1
1.pdf,DATE,2,between 23 March,,5.  The trial of this claim is taking place between 23 March – 3 April 2020 and I understand ,https://www.nickwallis.com/_files/ugd/5df505_786b359e45424370b08d40344ff8ecf1.pdf#page=2
1.pdf,timexy,2,3 April 2020,"TIMEX3 type=""DATE"" value=""2020-04-03T00:00:00""",5.  The trial of this claim is taking place between 23 March – 3 April 2020 and I understand ,https://www.nickwallis.com/_files/ugd/5df505_786b359e45424370b08d40344ff8ecf1.pdf#page=2
1.pdf,timexy,3,19  February 2020,"TIMEX3 type=""DATE"" value=""2020-02-19T00:00:00""",   19  February 2020  ,https://www.nickwallis.com/_files/ugd/5df505_786b359e45424370b08d40344ff8ecf1.pdf#page=3
2.pdf,timexy,1,26 February 2020,"TIMEX3 type=""DATE"" value=""2020-02-26T00:00:00""","Name: Amber Heard 
Statement: Third 
Party: Defendants 
Exhibit AH 3
Dated 26 February 2020",https://www.nickwallis.com/_files/ugd/5df505_460ee721e9694b80a6d7446b25cf1945.pdf#page=1
