file,label,page,text,id,surrounding_text,link,name,calculated_date,pretty_date
7.pdf,timexy,12,September 2013,"TIMEX3 type=""DATE"" value=""2013-09-01T00:00:00""","It was only sometime after this, but before we travelled to London in September 2013, ",https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=12,Whitney Henriquez,2013-09-01,Sep. 2013
4.pdf,timexy,12,September 2013,"TIMEX3 type=""DATE"" value=""2013-09-01T00:00:00""",September 2013. I was impressed with Savannah’s work ethic and enthusiasm as an ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=12,Amber Heard,2013-09-01,Sep. 2013
4.pdf,timexy,12,November  2013,"TIMEX3 type=""DATE"" value=""2013-11-01T00:00:00""",to  the  US  with  me  in  November  2013  and  then  returned  to  the  UK.  Savannah  then ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=12,Amber Heard,2013-11-01,Nov. 2013
5.pdf,timexy,6,17 November 2013,"TIMEX3 type=""DATE"" value=""2013-11-17T00:00:00""","a.  Tab 65, I4-I5: The date range for this email exchange was 14-17 November 2013; ",https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=6,Amber Heard,2013-11-17,Nov. 2013
10.pdf,timexy,2,December 2013,"TIMEX3 type=""DATE"" value=""2013-12-01T00:00:00""","7.  From October through December 2013, I spent a lot of time with Johnny while Amber ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2,iO Tillet-Wright,2013-12-01,Dec. 2013
6.pdf,timexy,2,8 December 2013,"TIMEX3 type=""DATE"" value=""2013-12-08T00:00:00""",3.3  Tab 148(g): I took this picture of Johnny with Doug Stanhope on 8 December 2013;  ,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=2,Amber Heard,2013-12-08,Dec. 2013
4.pdf,timexy,12,March 2014,"TIMEX3 type=""DATE"" value=""2014-03-01T00:00:00""",came to the US in late March 2014 and stayed with me whilst I was working on a film ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=12,Amber Heard,2014-03-01,Mar. 2014
10.pdf,timexy,2,"May 

2014","TIMEX3 type=""DATE"" value=""2014-05-01T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2,iO Tillet-Wright,2014-05-01,May 2014
7.pdf,timexy,12,May 2014,"TIMEX3 type=""DATE"" value=""2014-05-01T00:00:00""","Plane incident, May 2014 ",https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=12,Whitney Henriquez,2014-05-01,May 2014
5.pdf,timexy,7,5 May 2014,"TIMEX3 type=""DATE"" value=""2014-05-05T00:00:00""",York of the property damage caused by Johnny on 5 May 2014; ,https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=7,Amber Heard,2014-05-05,May 2014
0.pdf,timexy,15,24 May 2014,"TIMEX3 type=""DATE"" value=""2014-05-24T00:00:00""","Boston – LA flight, 24 May 2014 ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=15,Amber Heard,2014-05-24,May 2014
4.pdf,timexy,11,24 May 2014,"TIMEX3 type=""DATE"" value=""2014-05-24T00:00:00""","44. On 24 May 2014, I texted Kate about the Boston plane incident. I wrote ‘I have to leave ",https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=11,Amber Heard,2014-05-24,May 2014
10.pdf,timexy,4,24 May 2014,"TIMEX3 type=""DATE"" value=""2014-05-24T00:00:00""","Boston-LA flight incident, 24 May 2014 ",https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=4,iO Tillet-Wright,2014-05-24,May 2014
11.pdf,timexy,184,"May 25, 2014","TIMEX3 type=""DATE"" value=""2014-05-25T00:00:00""","me on May 25, 2014 to pass along Johnny's apologies for his behavior during the flight. Stephen",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=184,Josh Drew,2014-05-25,May 2014
11.pdf,timexy,184,"May 25, 2014","TIMEX3 type=""DATE"" value=""2014-05-25T00:00:00""","me on May 25, 2014 to pass along Johnny's apologies for his behavior during the flight. Stephen",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=184,Josh Drew,2014-05-25,May 2014
11.pdf,timexy,47,June 2014,"TIMEX3 type=""DATE"" value=""2014-06-01T00:00:00""","15 former wife, Rocky, in June 2014.                          02:57",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=47,Josh Drew,2014-06-01,Jun. 2014
4.pdf,timexy,6,August 2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""",island for him to detox in August 2014. I don’t believe she was around or nearby during ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=6,Amber Heard,2014-08-01,Aug. 2014
11.pdf,timexy,184,August 2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""","August 2014, Bahamas:",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=184,Josh Drew,2014-08-01,Aug. 2014
7.pdf,timexy,13,August 2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""","Bahamas, August 2014 ",https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=13,Whitney Henriquez,2014-08-01,Aug. 2014
11.pdf,timexy,48,August 2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""","22 paragraph 9.  It says, ""August 2014, Bahamas.""",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=48,Josh Drew,2014-08-01,Aug. 2014
0.pdf,timexy,20,August 2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""","Bahamas, August 2014 ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=20,Amber Heard,2014-08-01,Aug. 2014
11.pdf,timexy,184,"August 17, 2014","TIMEX3 type=""DATE"" value=""2014-08-17T00:00:00""","On August 17, 2014, while in the Bahamas, Johnny and I got into a fight during",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=184,Josh Drew,2014-08-17,Aug. 2014
11.pdf,timexy,184,"August 17, 2014","TIMEX3 type=""DATE"" value=""2014-08-17T00:00:00""","On August 17, 2014, while in the Bahamas, Johnny and I got into a fight during",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=184,Josh Drew,2014-08-17,Aug. 2014
7.pdf,timexy,4,November  2014,"TIMEX3 type=""DATE"" value=""2014-11-01T00:00:00""",15.  One  example  of  this  that  I  remember  was  after  a  fight  they  had  in  November  2014. ,https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=4,Whitney Henriquez,2014-11-01,Nov. 2014
4.pdf,timexy,12,"5 November 

2014","TIMEX3 type=""DATE"" value=""2014-11-05T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=12,Amber Heard,2014-11-05,Nov. 2014
4.pdf,timexy,11,December 2014,"TIMEX3 type=""DATE"" value=""2014-12-01T00:00:00""","around December 2014. She noticed a scratch above my eye, touched it gently and ",https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=11,Amber Heard,2014-12-01,Dec. 2014
4.pdf,timexy,11,8 December 2014,"TIMEX3 type=""DATE"" value=""2014-12-08T00:00:00""",Kate also texted me on 8 December 2014 asking me “Love you sweetie- are u ok? Is ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=11,Amber Heard,2014-12-08,Dec. 2014
0.pdf,timexy,21,17 December 2014,"TIMEX3 type=""DATE"" value=""2014-12-17T00:00:00""",17 December 2014 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=21,Amber Heard,2014-12-17,Dec. 2014
11.pdf,timexy,184,"December 17, 2014","TIMEX3 type=""DATE"" value=""2014-12-17T00:00:00""","December 17, 2014, Los Angeles, California:",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=184,Josh Drew,2014-12-17,Dec. 2014
11.pdf,timexy,184,"December 17, 2014","TIMEX3 type=""DATE"" value=""2014-12-17T00:00:00""","December 17, 2014, Los Angeles, California:",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=184,Josh Drew,2014-12-17,Dec. 2014
0.pdf,timexy,21,17 December 2014,"TIMEX3 type=""DATE"" value=""2014-12-17T00:00:00""",17 December 2014 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=21,Amber Heard,2014-12-17,Dec. 2014
4.pdf,timexy,5,January 2015,"TIMEX3 type=""DATE"" value=""2015-01-01T00:00:00""",his doctors Connell Cowan and David Kipper from January 2015 (AH5/1-3) where Dr ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=5,Amber Heard,2015-01-01,Jan. 2015
11.pdf,timexy,50,January 2015,"TIMEX3 type=""DATE"" value=""2015-01-01T00:00:00""","1 I'm going to go back a little bit to January 2015,         03:12",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=50,Josh Drew,2015-01-01,Jan. 2015
0.pdf,timexy,22,January 2015,"TIMEX3 type=""DATE"" value=""2015-01-01T00:00:00""","Tokyo, January 2015  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=22,Amber Heard,2015-01-01,Jan. 2015
11.pdf,timexy,185,"January 25, 2015","TIMEX3 type=""DATE"" value=""2015-01-25T00:00:00""","January 25, 2015, Tokyo, Japan:",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=185,Josh Drew,2015-01-25,Jan. 2015
11.pdf,timexy,185,"January 25, 2015","TIMEX3 type=""DATE"" value=""2015-01-25T00:00:00""","January 25, 2015, Tokyo, Japan:",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=185,Josh Drew,2015-01-25,Jan. 2015
7.pdf,timexy,6,February 2015,"TIMEX3 type=""DATE"" value=""2015-02-01T00:00:00""",But it was before their wedding in February 2015 – so this was sometime in 2014 after ,https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=6,Whitney Henriquez,2015-02-01,Feb. 2015
0.pdf,timexy,22,February 2015,"TIMEX3 type=""DATE"" value=""2015-02-01T00:00:00""",97.  Johnny and I got married in February 2015. We fought on our wedding night over his ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=22,Amber Heard,2015-02-01,Feb. 2015
10.pdf,timexy,7,February 2015,"TIMEX3 type=""DATE"" value=""2015-02-01T00:00:00""",I attended Amber and Johnny’s wedding in the Bahamas in February 2015 as Amber’s ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=7,iO Tillet-Wright,2015-02-01,Feb. 2015
11.pdf,timexy,49,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","9       Q   Okay.  ""March 2015, Australia.""  Sitting",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=49,Josh Drew,2015-03-01,Mar. 2015
11.pdf,timexy,51,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","10       A   Okay.                                            03:16
11       Q   The declaration.
12           The next incident that's described is on
13 page 6.  It says, at the top, ""March 2015,
14 Los Angeles.""
15           And, again, keeping in mind the same             03:16
16 instruction I gave you earlier, Mr. Drew, separate
17 and apart from whatever you may have learned from
18 reading this document, did you know about this event
19 prior to the deposition?
20       A   I don't have any recollection of this            03:16
21 event.
22       Q   Okay.  Same thing for the next one, which
23 is just a small paragraph where it says, ""August
24 2015, Thailand and Malaysia.""
25       A   Only thing I know is that they did take          03:17",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=51,Josh Drew,2015-03-01,Mar. 2015
2.pdf,timexy,5,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",throw anything at him during the March 2015 staircase incident.  I recall that Johnny ,https://www.nickwallis.com/_files/ugd/5df505_460ee721e9694b80a6d7446b25cf1945.pdf#page=5,Amber Heard,2015-03-01,Mar. 2015
0.pdf,timexy,30,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","Staircase incident, March 2015  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=30,Amber Heard,2015-03-01,Mar. 2015
5.pdf,timexy,3,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",scars on my arm from the incident in Australia in March 2015;   ,https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=3,Amber Heard,2015-03-01,Mar. 2015
0.pdf,timexy,23,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","Australia, March 2015  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=23,Amber Heard,2015-03-01,Mar. 2015
7.pdf,timexy,14,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","Los Angeles, March 2015 (“Stairs Incident”) ",https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=14,Whitney Henriquez,2015-03-01,Mar. 2015
7.pdf,timexy,13,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","Australia, March 2015 ",https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=13,Whitney Henriquez,2015-03-01,Mar. 2015
11.pdf,timexy,185,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","March 2015, Australia:",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=185,Josh Drew,2015-03-01,Mar. 2015
5.pdf,timexy,3,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",scars on my arm from the incident in Australia in March 2015;   ,https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=3,Amber Heard,2015-03-01,Mar. 2015
11.pdf,timexy,49,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","9       Q   Okay.  ""March 2015, Australia.""  Sitting",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=49,Josh Drew,2015-03-01,Mar. 2015
11.pdf,timexy,185,"March 3, 2015","TIMEX3 type=""DATE"" value=""2015-03-03T00:00:00""","On March 3, 2015, I arrived in Australia to meet Johnny after I had been filming a",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=185,Josh Drew,2015-03-03,Mar. 2015
11.pdf,timexy,50,"March 12, 2015","TIMEX3 type=""DATE"" value=""2015-03-12T00:00:00""","20       Q   Okay.  And it's dated March 12, 2015;            03:08",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=50,Josh Drew,2015-03-12,Mar. 2015
11.pdf,timexy,10,"March 12, 2015","TIMEX3 type=""DATE"" value=""2015-03-12T00:00:00""","14              between Joshua Drew and Amber
             Heard dated March 12, 2015",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=10,Josh Drew,2015-03-12,Mar. 2015
11.pdf,timexy,50,"March 12, 2015","TIMEX3 type=""DATE"" value=""2015-03-12T00:00:00""","20       Q   Okay.  And it's dated March 12, 2015;            03:08",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=50,Josh Drew,2015-03-12,Mar. 2015
11.pdf,timexy,245,"Mar 23, 2015","TIMEX3 type=""DATE"" value=""2015-03-23T00:00:00""","Mar 23, 2015, 06:57",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=245,Josh Drew,2015-03-23,Mar. 2015
11.pdf,timexy,245,"Mar 23, 2015","TIMEX3 type=""DATE"" value=""2015-03-23T00:00:00""","Mar 23, 2015, 06:57",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=245,Josh Drew,2015-03-23,Mar. 2015
4.pdf,timexy,13,21 April 2015,"TIMEX3 type=""DATE"" value=""2015-04-21T00:00:00""",56. On 21 April 2015 Johnny chartered a private plane to Australia where he was filming ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=13,Amber Heard,2015-04-21,Apr. 2015
