file,label,page,text,id,surrounding_text,link
0.pdf,timexy,21,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=21
0.pdf,DATE,21,The next day,,"out and show their support. The next day, or shortly thereafter, a film in which Ms Heard had ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=21
0.pdf,DATE,21,the year,,73.  This  whole  period  and the  period  for  the  rest of the year was  one  in which Ms  Heard  was ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=21
0.pdf,timexy,21,"22  October 

2015","TIMEX3 type=""DATE"" value=""2015-10-22T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=21
0.pdf,timexy,22,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=22
0.pdf,timexy,22,26 November 2015,"TIMEX3 type=""DATE"" value=""2015-11-26T00:00:00""",26 November 2015 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=22
0.pdf,timexy,22,26 November 2015,"TIMEX3 type=""DATE"" value=""2015-11-26T00:00:00""",26 November 2015 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=22
0.pdf,timexy,22,26  November  2015,"TIMEX3 type=""DATE"" value=""2015-11-26T00:00:00""","76.  On 26  November  2015,  Ms  Heard  and  I  were  indeed  in Los  Angeles  together  celebrating ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=22
0.pdf,timexy,22,15 December 2015,"TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""",15 December 2015 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=22
0.pdf,timexy,22,15  December 2015,"TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""",that on 15  December 2015: ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=22
0.pdf,timexy,23,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=23
0.pdf,DATE,23,at least a week,,pain for at least a week after this incident. ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=23
0.pdf,timexy,23,15  December 2015,"TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""",78.  I was  at the penthouse in which I lived with Ms Heard on 15  December 2015  but I was not ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=23
0.pdf,DATE,23,this date,,"violent toward Ms Heard in any way.  In  fact,  on  this date,  Ms  Heard  violently attacked  me ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=23
0.pdf,timexy,24,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=24
0.pdf,DATE,24,the next day,,"evidence whatsoever of this having been the  case.  And indeed, just the next day,  she taped ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=24
0.pdf,timexy,24,December  16,"TIMEX3 type=""DATE"" value=""2016-12-01T00:00:00""","December  16,  2015  preparing for  the  Corden show.  I understand from  my  US  lawyers that ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=24
0.pdf,timexy,24,April 21,"TIMEX3 type=""DATE"" value=""2021-04-01T00:00:00""","80. It is alleged at paragraphs 8.b and 8.c of the Defence that on April 21"", 2016: ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=24
0.pdf,timexy,24,April 21,"TIMEX3 type=""DATE"" value=""2021-04-01T00:00:00""","80. It is alleged at paragraphs 8.b and 8.c of the Defence that on April 21"", 2016: ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=24
0.pdf,timexy,25,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=25
0.pdf,timexy,26,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=26
0.pdf,DATE,26,14  year,,"and who  had been previously a  14  year veteran of the LA Sherriffs Department,  and asked ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=26
0.pdf,timexy,26,12  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-12T00:00:00""","in  our  shared  bed.  On  12  May  2016,  Ms  Heard  confessed  to  our  estate  manager,  Kevin ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=26
0.pdf,DATE,26,that day,,that which was deposited on the bed.  I resolved to  divorce Ms Heard on that day. ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=26
0.pdf,timexy,26,"11  May 

2016","TIMEX3 type=""DATE"" value=""2016-05-11T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=26
0.pdf,timexy,26,21  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","""The  next time  Ms  Heard saw  the  Claimant was  on  21  May  2016.  He  arrived at the  South ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=26
0.pdf,timexy,27,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=27
0.pdf,timexy,27,April  22,"TIMEX3 type=""DATE"" value=""2022-04-01T00:00:00""","88.  Since  the  incident  on April  22,  2016,  Ms  Heard  had  repeatedly  tried  to  contact  me  either ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=27
0.pdf,timexy,27,21  May 2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""",touch with Ms  Heard.  The next time Ms Heard and I saw each other was  on 21  May 2016. ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=27
0.pdf,timexy,27,May 21,"TIMEX3 type=""DATE"" value=""2021-05-01T00:00:00""","Prior to  arriving to  pick up my things  on May 21 '\ 2016,  I told Ms  Heard  on the phone that ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=27
0.pdf,DATE,27,"approximately 4 

years",,,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=27
0.pdf,timexy,28,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=28
0.pdf,DATE,28,22  April,,Heard  what he  earlier told me about her confession that the  defecation incident on 22  April ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=28
0.pdf,timexy,29,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No: Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=29
0.pdf,timexy,30,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=30
